	2011-03-18 23:20:22	Soo good! http://bit.ly/h3soXb 
http://bit.ly/hQX9qG
koibraces	2012-11-21 00:59:02	Should i get this? Batman Bat-signal (Mega Mini Kits)  http://t.co/z72ZNrLY http://t.co/9L3qw2u9
koibraces	2011-03-03 22:32:16	Pancake day is soon? Yes!!!
koibraces	2010-09-02 23:54:47	Why are some girls really nice but others just take the piss.
koibraces	2012-02-03 21:26:08	Metal gear?! Kettle fear?! Greg kinnear?!
koibraces	2011-09-24 15:07:44	Saints Row 3 confirmed for BEST GANE EVER.
koibraces	2010-11-03 19:41:19	Being told someone has feeling for you but nothing can happen is the worse feeling in the world.
koibraces	2011-03-27 23:41:27	RT @kkjordan: Is the Captain America trailer I just saw on the big screen at least gonna buy me breakfast now? Holy shit I can&#39;t wait!!
koibraces	2012-07-16 17:18:25	because of @Kranitoko I want to re-read the walking dead. Volume one I&#39;m gonna read you!
koibraces	2012-12-12 21:19:50	Watched the Man Of Steel trailer 3 times now. That’s easily my most anticipated film.
koibraces	2011-01-15 02:04:40	RT @KieranD: Na Na Na (Na Na Na Na Na Na Na Na Na)- MCR #nowplaying #bedtimemusic #greatestsongeverwritten
koibraces	2011-02-05 20:46:09	RT @KieranD: #superbowl #superbowl #superbowl #superbowl #superbowl #superbowl #superbowl #superbowl #superbowl #superbowl #superbowl #superbowl
koibraces	2011-02-07 02:15:44	RT @kkjordan: Derezz Fergie. Now.
koibraces	2011-05-06 23:15:51	RT @kkjordan: Team Thor &gt; Team Jacob

Plus, he&#39;s not a dog and doesn&#39;t fall in love with babies. NO ICKY AFTERTASTE!!!! CHRIS HEMSWOR ...
koibraces	2011-08-18 22:42:44	When Big Brother finished on C4, I gave a sigh of relief. Alas, C5 have brought it back...prepare for  my timeline to be filled with shite!
koibraces	2011-11-03 23:31:33	When I realised Saints Row 2 was more fun. #GrandTheftAutoMemories
koibraces	2010-10-17 14:05:21	Justin bieber is getting a movie? This is the worst thing to be put on film.
koibraces	2011-04-04 01:47:59	RT @bryanQmiller: Cody Rhodes in a Blur jacket. Rey Mysterio dressed like Cap America. This is the closest we&#39;ll come to Marvel v. DC for a while
koibraces	2012-08-05 23:04:42	JAMAICA WE HAVE A BOB SLEIGH TEAM.
koibraces	2011-03-14 23:46:25	RT @AceyBongos: One thing I really enjoy about Twitter is people tweeting &quot;Why is &lt;whatever&gt; trending?&quot;... Really? Too hard just to have a wee search?
koibraces	2010-08-03 12:28:40	RT @Xenoliath: Arkham Asylum 2 details and screens in next month&#39;s Official Xbox Magazine. Retweet if you think it&#39;s about damn time.
koibraces	2011-04-16 02:10:45	RT @bryanQmiller: Hey, East Coast! Why you readin&#39; this and not watching the 4th-to-last #Smallville ... EVER?!? &quot;Kent&quot; is one the TV! Now!
koibraces	2010-09-03 08:59:44	RT @GearsViking: In case you were wondering, Seriously 2.0 Achievement has been achieved by 1.48% of the player base.  Hardest achievment in the game...
koibraces	2010-08-18 17:53:38	RT @rioferdy5: Help me get to 80,000 followers and the giveaways starts again twitfam! Let&#39;s get this going. any requests what the prizes should be?!
koibraces	2012-10-15 17:57:53	In Thailand visiting our @RED5stores metal art factory. Found these mini darth vaders with #gangnamstyle ! http://t.co/3s0mUc6e
koibraces	2011-02-03 21:09:07	I fucking love steel panther
